country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624549,,0,2,1.53463E+19,
,,12624549,,0,13,8.78441E+18,
,,12624549,,0,20,1.19653E+19,
,,12624548,,0,5,7.83814E+18,
,,12624548,,0,7,5.64896E+18,
,,12624549,,0,17,1.60961E+18,
,,12624549,,0,5,7.4041E+17,
,,12624548,,0,13,1.59688E+19,
,,12624548,,0,9,1.5607E+19,
KR,4/2/17,12624548,1.4074E+19,1.967007,5,3.10984E+17,GAMES
,,12624549,,0,3,4.53569E+18,
,,12624548,,0,14,3.98114E+18,
,,12624548,,0,2,1.58284E+18,
,,12624549,,0,18,8.62393E+18,
,,12624548,,0,3,1.20461E+19,
,,12624548,,0,14,8.74288E+16,
,,12624549,,0,12,1.09268E+19,
,,12624548,,0,19,4.43561E+18,
,,12624548,,0,2,6.95709E+18,
,,12624549,,0,7,7.48356E+18,
BR,4/2/17,12624549,9.57475E+18,0.946464,18,9.99371E+17,GAMES
,,12624549,,0,6,1.2696E+19,
,,12624549,,0,5,1.52979E+19,
,,12624549,,0,7,1.46E+19,
FR,4/1/17,12624548,8.20251E+18,1.056582,9,1.19327E+19,GAMES
FR,4/1/17,12624548,1.49313E+19,1.056582,9,1.19327E+19,GAMES
FR,4/1/17,12624548,6.90359E+18,14.930897,9,1.19327E+19,GAMES
,,12624549,,0,1,6.00684E+18,
,,12624548,,0,17,3.43593E+18,
,,12624548,,0,11,1.04808E+18,
,,12624549,,0,3,8.40707E+17,
,,12624549,,0,16,2.07844E+18,
,,12624548,,0,1,1.32284E+19,
,,12624549,,0,7,1.35854E+19,
,,12624548,,0,3,6.69656E+18,
US,4/6/17,12624548,2.02659E+18,9.99,11,8.15458E+18,GAMES
,,12624549,,0,8,8.13672E+18,
,,12624548,,0,1,1.3053E+18,
,,12624548,,0,19,5.8065E+18,
,,12624549,,0,14,3.56606E+18,
,,12624549,,0,18,7.87859E+18,
,,12624549,,0,15,8.34551E+18,
,,12624548,,0,16,1.76781E+18,
,,12624548,,0,1,9.11527E+18,
,,12624548,,0,8,8.88327E+17,
,,12624549,,0,13,1.63106E+19,
,,12624549,,0,7,8.713E+18,
ES,4/6/17,12624549,1.61915E+19,2.119813,19,2.69085E+18,GAMES
,,12624549,,0,3,1.58693E+19,
,,12624548,,0,7,1.18891E+18,
,,12624548,,0,8,1.13417E+19,
,,12624549,,0,14,2.13431E+18,
,,12624548,,0,11,9.4178E+18,
TR,4/4/17,12624548,1.32734E+19,0.815536,14,1.47735E+19,GAMES
TR,4/4/17,12624548,9.43168E+18,0.815536,14,1.47735E+19,GAMES
TR,4/7/17,12624548,1.21886E+19,0.801406,14,1.47735E+19,GAMES
,,12624549,,0,9,3.35498E+18,
,,12624549,,0,20,1.05843E+19,
,,12624549,,0,7,6.67482E+18,
,,12624549,,0,12,8.79862E+18,
,,12624548,,0,1,3.63208E+18,
,,12624548,,0,5,1.731E+19,
,,12624549,,0,8,1.44687E+19,
,,12624549,,0,14,5.65591E+18,
US,4/7/17,12624549,1.69641E+19,9.99,7,1.62736E+19,GAMES
US,4/4/17,12624549,9.34157E+17,0.99,7,1.62736E+19,GAMES
DE,4/7/17,12624548,9.79887E+18,1.050354,3,1.50007E+19,GAMES
,,12624549,,0,10,9.12405E+18,
,,12624549,,0,20,1.11243E+19,
AU,4/1/17,12624549,1.3467E+19,16.412146,19,5.31147E+18,GAMES
GB,4/6/17,12624548,1.65574E+19,4.976074,2,9.85486E+18,GAMES
,,12624549,,0,5,4.77764E+18,
,,12624548,,0,9,3.04199E+18,
,,12624548,,0,15,4.03944E+17,
,,12624549,,0,5,3.63476E+17,
,,12624548,,0,15,5.67141E+18,
US,4/3/17,12624549,4.6834E+18,0.99,19,1.86452E+18,GAMES
